Sample Name,Comments,DIC flag,TA flag,Analysis Type,Date (analysis),Time (analysis),Station,Cast,Niskin,Replicate (diff bottle),Repeat(same bottle),No. Of Repeats,Depth (m),CTD Temp (C),Salinity,Phosphate (uMol/Kg),Silicate (uMol/Kg),Nitrate (uMol/Kg),DIC pipette volume (ml),DIC set end point (cpm),DIC pipette temp sample (C),DIC background (cpm),DIC total time (s),DIC total counts,DIC cell Number (sequential),Sample Bottle temp (C),TA pipette vol (ml),TA cell temp (C),TA Acid Batch,TA Acid conc (Mol),TA Acid density (Kg/l),salinity_availability,ctd_temp_availability,Pressure_CTD,sampling_date,Longitude,Latitude,crm_batch,DIC_certified_umolkg,TA_certified_umolkg,sample_temp_flag,sample_temperature_alternative,analysis_datetime,netdiccounts,diccounts_volcorr,dic_sw_density,dicpipmass,dic_crm_pip_umol,dic_crm_counts_per_umol,dic_crm_counts_per_umol_mean_allcells,dic_crm_counts_per_umol_std_allcells,dic_sample_pip_umol_allcells,dic_sample_umol_per_l_allcells,dic_sample_umol_per_kg_allcells,dic_crm_counts_per_umol_mean_percell,dic_crm_counts_per_umol_std_percell,dic_sample_pip_umol,dic_sample_umol_per_l,dic_sample_umol_per_kg,dic_driftcorr_flag,dic_crm_counts_per_umol_driftcorr,dic_sample_pip_umol_driftcorr,dic_sample_umol_per_l_driftcorr,dic_sample_umol_per_kg_driftcorr
0000_003_14_50_1_1, ,,,3,2024-01-28 00:00:00,4424,0,3,14,1,1,1,50,0.831,34.3461,0.0,0.0,,21.8442,50,0.0,25,341.0,240255.0,3,25.38,96.7556,24.74,,,,1.0,1.0,49.92,2024-01-22 00:00:00,-56.66824,-61.45362,,,,,,2024-01-28 00:44:24,240112.91666666666,240160.93925,1022.7332278436783,22.340789175662877,,,4843.449614233142,7.0707489583139544,49.574773310547485,2269.470766178092,2219.0251615888383,4837.995688558244,0.8291963874076486,49.630659496974864,2272.0291654981584,2221.526693024812,0,,,,
0000_003_15_18_1_1, ,,,3,2024-01-28 00:00:00,11549,0,3,15,1,1,1,18,0.9972,34.3184,0.0,0.0,,21.8442,50,0.0,9,270.0,239242.0,3,25.3,96.7556,24.7,,,,1.0,1.0,17.526,2024-01-22 00:00:00,-56.66672,-61.45344,,,,,,2024-01-28 01:15:49,239201.5,239249.34029999998,1022.7367684345829,22.340866517038716,,,4843.449614233142,7.0707489583139544,49.386598199984064,2260.856346306299,2210.5945694773463,4837.995688558244,0.8291963874076486,49.4422722545426,2263.405034496232,2213.08659701424,0,,,,
0000_003_18_15_1_1, ,,,3,2024-01-28 00:00:00,14512,0,3,18,1,1,1,15,1.0093,34.3164,0.0,0.0,,21.8442,50,0.0,0,245.0,238450.0,3,25.31,96.7556,24.7,,,,1.0,1.0,14.868,2024-01-22 00:00:00,-56.66556,-61.4533,,,,,,2024-01-28 01:45:12,238450.0,238497.69,1022.7322042897605,22.340766816946385,,,4843.449614233142,7.0707489583139544,49.23144019074379,2253.753407803618,2203.659372757059,4837.995688558244,0.8291963874076486,49.28693933397442,2256.294088772966,2206.1435821705213,0,,,,
0000_003_19_11_1_1, ,,,3,2024-01-28 00:00:00,21600,0,3,19,1,1,1,11,1.0012,34.3179,0.0,0.0,,21.8442,50,0.0,67,269.0,239212.0,3,25.18,96.7556,24.69,,,,1.0,1.0,10.178,2024-01-22 00:00:00,-56.6652,-61.45324,,,,,,2024-01-28 02:16:00,238911.61666666667,238959.39899,1022.772978222609,22.341657490890316,,,4843.449614233142,7.0707489583139544,49.326747606621545,2258.1164614232403,2207.837427761761,4837.995688558244,0.8291963874076486,49.382354190948845,2260.6620609108522,2210.3263471425166,0,,,,
0000_003_21_6_1_1, ,,,3,2024-01-28 00:00:00,24537,0,3,21,1,1,1,6,1.0147,34.3163,0.0,0.0,,21.8442,50,0.0,31,248.0,238964.0,3,25.18,96.7556,24.7,,,,1.0,1.0,6.494,2024-01-22 00:00:00,-56.66466,-61.45318,,,,,,2024-01-28 02:45:37,238835.86666666667,238883.63384,1022.7717698385777,22.341631094707857,,,4843.449614233142,7.0707489583139544,49.31110792704742,2257.400496564187,2207.1400122047453,4837.995688558244,0.8291963874076486,49.36669688059217,2259.945288936751,2209.628145381285,0,,,,
0000_003_24_3_1_1, ,,,3,2024-01-28 00:00:00,31503,0,3,24,1,1,1,3,1.0252,34.3154,0.0,0.0,,21.8442,50,0.0,49,265.0,239185.0,3,25.27,96.7556,24.68,,,,1.0,1.0,3.972,2024-01-22 00:00:00,-56.66284,-61.45296,,,,,,2024-01-28 03:15:03,238968.58333333334,239016.37705,1022.7436604091348,22.341017066709224,,,4843.449614233142,7.0707489583139544,49.33850919623306,2258.6548922017314,2208.4271745064516,4837.995688558244,0.8291963874076486,49.39412903952951,2261.201098668274,2210.9167587151906,0,,,,
0000_003_08_300_1_1, ,,,3,2024-01-28 00:00:00,34442,0,3,8,1,1,1,300,0.6605,34.5591,0.0,0.0,,21.8442,50,0.0,19,254.0,242860.0,3,24.81,96.7556,24.56,,,,1.0,1.0,303.145,2024-01-22 00:00:00,-56.67106,-61.45398,,,,,,2024-01-28 03:44:42,242779.56666666668,242828.12258,1023.0673760269289,22.34808837540744,,,4843.449614233142,7.0707489583139544,50.125341647660704,2294.6750921370754,2242.9364340092843,4837.995688558244,0.8291963874076486,50.18184849582135,2297.261904570611,2245.4649208852725,0,,,,
0000_003_08_300_2_1, ,,,3,2024-01-28 00:00:00,41341,0,3,8,2,1,1,300,0.6605,34.5591,0.0,0.0,,21.8442,50,0.0,7,266.0,243170.0,3,24.97,96.7556,24.47,,,,1.0,1.0,303.145,2024-01-22 00:00:00,-56.67106,-61.45398,,,,,,2024-01-28 04:13:41,243138.96666666667,243187.59446,1023.0189787941698,22.34703117657561,,,4843.449614233142,7.0707489583139544,50.19954495906583,2298.072026399036,2246.3630431448773,4837.995688558244,0.8291963874076486,50.25613545743439,2300.662668233874,2248.8953928749784,0,,,,
8888_0208_0612_0_1_1, ,,,3,2024-01-28 00:00:00,44719,8888,208,612,1,1,2,0,0.0,33.14,0.58,3.3,3.2,21.8442,50,0.0,50,270.0,222651.0,3,24.84,96.7556,24.52,,,,,,,,,,208.0,2059.66,2215.76,,,2024-01-28 04:47:19,222426.0,222470.4852,1021.9862075173296,22.324471114250052,45.98082017517626,4837.364778457812,4843.449614233142,7.0707489583139544,45.92305437561912,2102.2996665302057,2057.0724448789174,4837.995688558244,0.8291963874076486,45.974823939184716,2104.669612033616,2059.3914052386344,0,,,,
8888_0208_0612_0_1_2, ,,,3,2024-01-28 00:00:00,51554,8888,208,612,1,2,2,0,0.0,33.14,0.58,3.3,3.2,21.8442,50,0.0,35,245.0,222602.0,3,25.27,96.7556,24.65,,,,,,,,,,208.0,2059.66,2215.76,,,2024-01-28 05:15:54,222459.08333333334,222503.57515000002,1021.8563834898098,22.321635212228102,45.97497918121773,4838.698946582995,4843.449614233142,7.0707489583139544,45.929884906742245,2102.6123596534662,2057.6397952055595,4837.995688558244,0.8291963874076486,45.9816621704406,2104.982657659269,2059.9593951455317,0,,,,
8888_0208_0856_0_1_1, ,,,3,2024-01-28 00:00:00,121641,8888,208,856,1,1,2,0,0.0,33.14,0.58,3.3,3.2,21.8442,50,0.0,45,279.0,222829.0,4,24.79,96.7556,24.45,,,,,,,,,,208.0,2059.66,2215.76,,,2024-01-28 12:16:41,222619.75,222664.27395,1022.0012091028723,22.324798811884964,45.98149512088698,4841.507424121916,4843.449614233142,7.0707489583139544,45.963056856378,2104.1309297835583,2058.834090451415,4850.398794784467,10.5160592162278,45.89720545027728,2101.116335241267,2055.884392823427,0,4841.211163652828,45.98430898271895,2105.1038253961665,2059.7860419793997
8888_0208_0856_0_1_2, ,,,3,2024-01-28 00:00:00,124507,8888,208,856,1,2,2,0,0.0,33.14,0.58,3.3,3.2,21.8442,50,0.0,46,271.0,222813.0,4,25.15,96.7556,24.57,,,,,,,,,,208.0,2059.66,2215.76,,,2024-01-28 12:45:07,222605.23333333334,222649.75438,1021.892759248413,22.322429811574185,45.97661578570689,4841.705495917261,4843.449614233142,7.0707489583139544,45.960059681260496,2103.9937228765757,2058.918319789282,4850.398794784467,10.5160592162278,45.894212569221345,2100.9793249110216,2055.968501485675,0,4841.895442824694,45.97481212924923,2104.669071389624,2059.5791998150344
1111_0009_4_382_1_1, ,,,3,2024-01-28 00:00:00,131807,1111,9,4,1,1,1,382,-1.6758,34.4771,0.0,0.0,,21.8442,50,0.0,37,277.0,241791.0,4,24.94,96.7556,24.57,,,,1.0,1.0,387.74,2024-01-28 00:00:00,-55.06862,-64.56222,,,,,,2024-01-28 13:18:07,241620.18333333332,241668.50736999998,1022.9661060858923,22.34587621456145,,,4843.449614233142,7.0707489583139544,49.88597024387313,2283.7169703570344,2232.4463701882264,4850.398794784467,10.5160592162278,49.814498468279034,2280.4450823687307,2229.2479377388636,0,4842.689623809652,49.893799128769125,2284.0753668602706,2232.796720508832
1111_0009_2_414_1_1, ,,,3,2024-01-28 00:00:00,134624,1111,9,2,1,1,1,414,-1.6736,34.4771,0.0,0.0,,21.8442,50,0.0,28,270.0,242235.0,4,24.79,96.7556,24.54,,,,1.0,1.0,419.14,2024-01-28 00:00:00,-55.06814,-64.56326,,,,,,2024-01-28 13:46:24,242109.0,242157.42179999998,1023.0114331020147,22.346866346967033,,,4843.449614233142,7.0707489583139544,49.986893491888395,2288.337109708224,2236.863670985025,4850.398794784467,10.5160592162278,49.91527712326145,2285.0586024327486,2233.658909855881,0,4843.370293067885,49.98771214055646,2288.3745864145385,2236.9003046971243
1111_0009_2_414_2_1, ,,,3,2024-01-28 00:00:00,142133,1111,9,2,2,1,1,414,-1.6736,34.4771,0.0,0.0,,21.8442,50,0.0,4,257.0,242263.0,4,24.79,96.7556,24.53,,,,1.0,1.0,419.14,2024-01-28 00:00:00,-55.06814,-64.56326,,,,,,2024-01-28 14:21:33,242245.86666666667,242294.31584,1023.0114331020147,22.346866346967033,,,4843.449614233142,7.0707489583139544,50.01515158840384,2289.630729823195,2238.1281926444244,4850.398794784467,10.5160592162278,49.943494734319295,2286.350369174394,2234.921619831397,0,4844.216216147295,50.007236642159995,2289.268393539704,2237.77400668739
1111_0009_2_414_3_1, ,,,3,2024-01-28 00:00:00,145003,1111,9,2,3,1,1,414,-1.6736,34.4771,0.0,0.0,,21.8442,50,0.0,30,286.0,242154.0,4,24.79,96.7556,24.6,,,,1.0,1.0,419.14,2024-01-28 00:00:00,-55.06814,-64.56326,,,,,,2024-01-28 14:50:03,242011.0,242059.40219999998,1023.0114331020147,22.346866346967033,,,4843.449614233142,7.0707489583139544,49.96665997904003,2287.410844940077,2235.9582414480956,4850.398794784467,10.5160592162278,49.895072599026165,2284.133664726846,2232.754777530499,0,4844.902099725208,49.95168014101385,2286.7250867971293,2235.2879086240837
1111_0009_5_350_1_1, ,,,3,2024-01-28 00:00:00,151845,1111,9,5,1,1,1,350,-1.6812,34.4756,0.0,0.0,,21.8442,50,0.0,29,290.0,241956.0,4,24.9,96.7556,24.63,,,,1.0,1.0,355.512,2024-01-28 00:00:00,-55.06944,-64.56168,,,,,,2024-01-28 15:18:45,241815.83333333334,241864.1965,1022.9770769585981,22.346115864499012,,,4843.449614233142,7.0707489583139544,49.92636500702398,2285.566191804872,2234.230114520321,4850.398794784467,10.5160592162278,49.85483535773448,2282.2916544315876,2231.029126495233,0,4845.592796521145,49.90428281694308,2284.555296918316,2233.2419253327766
1111_009_5_350_2_1, ,,,3,2024-01-28 00:00:00,154916,1111,9,5,2,1,1,350,-1.6812,34.4756,0.0,0.0,,21.8442,50,0.0,12,305.0,242379.0,4,24.83,96.7556,24.65,,,,1.0,1.0,355.512,2024-01-28 00:00:00,-55.06944,-64.56168,,,,,,2024-01-28 15:49:16,242318.0,242366.4636,1022.9982294343953,22.34657792341082,,,4843.449614233142,7.0707489583139544,50.03004455500379,2290.312511101519,2238.8235338078816,4850.398794784467,10.5160592162278,49.958366363722405,2287.031173662684,2235.6159647775335,0,4846.327213381417,50.0003382625351,2288.952594397373,2237.4941896653236
1111_009_5_350_3_1, ,,,3,2024-01-28 00:00:00,163250,1111,9,5,3,1,1,350,-1.6812,34.4756,0.0,0.0,,21.8442,50,0.0,29,449.0,242228.0,4,24.92,96.7556,24.83,,,,1.0,1.0,355.512,2024-01-28 00:00:00,-55.06944,-64.56168,,,,,,2024-01-28 16:32:50,242010.98333333334,242059.38553,1022.9710263671095,22.345983694168414,,,4843.449614233142,7.0707489583139544,49.966656537966415,2287.4106874120553,2236.04640645138,4850.398794784467,10.5160592162278,49.895069162882585,2284.1335074245144,2232.8428162195246,0,4847.375692722155,49.92618659549917,2285.5580243496747,2234.2353453219557
1111_009_9_300_1_1, ,,,3,2024-01-28 00:00:00,170151,1111,9,9,1,1,1,300,-1.6942,34.4574,0.0,0.0,,21.8442,50,0.0,0,280.0,242167.0,4,25.31,96.7556,24.56,,,,1.0,1.0,304.598,2024-01-28 00:00:00,-55.0706,-64.56052,,,,,,2024-01-28 17:01:51,242167.0,242215.4334,1022.8386736037321,22.343092553934643,,,4843.449614233142,7.0707489583139544,49.99886842806396,2288.8853072240668,2237.7774387037166,4850.398794784467,10.5160592162278,49.9272349029109,2285.6060145444053,2234.5713684168873,0,4848.074010446784,49.95117638018125,2286.702025259852,2235.642906621035
1111_009_13_200_1_1, ,,,3,2024-01-28 00:00:00,173053,1111,9,13,1,1,1,200,-1.58,34.4444,0.0,0.0,,21.8442,50,0.0,0,270.0,242179.0,4,25.32,96.7556,24.48,,,,1.0,1.0,202.076,2024-01-28 00:00:00,-55.0708,-64.5592,,,,,,2024-01-28 17:30:53,242179.0,242227.4358,1022.8258005192703,22.342811351703045,,,4843.449614233142,7.0707489583139544,50.0013460010658,2288.998727399758,2237.9164919751483,4850.398794784467,10.5160592162278,49.929708926286644,2285.7192722226787,2234.710222466289,0,4848.772729272838,49.94645315873965,2286.485802123202,2235.4596461708284
1111_009_14_60_1_1, ,,,3,2024-01-28 00:00:00,180017,1111,9,14,1,1,1,60,-1.3819,34.3385,0.0,0.0,,21.8442,50,0.0,5,291.0,240884.0,4,25.43,96.7556,24.49,,,,1.0,1.0,60.373,2024-01-28 00:00:00,-55.07136,-64.55816,,,,,,2024-01-28 18:00:17,240859.75,240907.92195,1022.7121798024297,22.340329398040236,,,4843.449614233142,7.0707489583139544,49.728967819175935,2276.5295968346713,2225.9729000924362,4850.398794784467,10.5160592162278,49.657720981415274,2273.2680062174522,2222.7837422026287,0,4849.48027233209,49.667126470064346,2273.698577657426,2223.2047516014386
1111_009_15_38_1_1, ,,,3,2024-01-28 00:00:00,183134,1111,9,15,1,1,1,38,-1.1232,34.1102,0.0,0.0,,21.8442,50,0.0,15,276.0,238805.0,4,25.28,96.7556,24.46,,,,1.0,1.0,38.105,2024-01-28 00:00:00,-55.07222,-64.55724,,,,,,2024-01-28 18:31:34,238736.0,238783.74719999998,1022.5856692999673,22.337565877322348,,,4843.449614233142,7.0707489583139544,49.29048901395433,2256.4565886575992,2206.618630009067,4850.398794784467,10.5160592162278,49.21987038606142,2253.223756697953,2203.457201038662,0,4850.233139861724,49.221551442124316,2253.3007133300516,2203.5324579432026
1111_009_18_26_1_1, ,,,3,2024-01-28 00:00:00,190019,1111,9,18,1,1,1,26,-1.052,33.7344,0.0,0.0,,21.8442,50,0.0,19,277.0,234691.0,4,25.38,96.7556,24.33,,,,1.0,1.0,26.812,2024-01-28 00:00:00,-55.07148,-64.55588,,,,,,2024-01-28 19:00:19,234603.28333333333,234650.20398999998,1022.2714783293466,22.330702626921912,,,4843.449614233142,7.0707489583139544,48.437230077488444,2217.3954677895476,2169.0867003482676,4850.398794784467,10.5160592162278,48.36783391617146,2214.2185988121087,2165.9790434833503,0,4850.925039962283,48.362586805744044,2213.9783926966447,2165.7440705622075
1111_009_19_17_1_1, ,,,3,2024-01-28 00:00:00,192837,1111,9,19,1,1,1,17,-1.3146,33.5139,0.0,0.0,,21.8442,50,0.0,11,301.0,233669.0,4,25.37,96.7556,24.41,,,,1.0,1.0,17.864,2024-01-28 00:00:00,-55.0713,-64.55524,,,,,,2024-01-28 19:28:37,233613.81666666668,233660.53943,1022.1081191991098,22.327134177409192,,,4843.449614233142,7.0707489583139544,48.232940419192225,2208.0433441916953,2160.283538224748,4850.398794784467,10.5160592162278,48.16383694426668,2204.8798740291095,2157.188493675973,0,4851.606110322056,48.15185143939046,2204.331192691445,2156.651680273009
1111_009_21_10_1_1, ,,,3,2024-01-28 00:00:00,195736,1111,9,21,1,1,1,10,-1.3271,33.5059,0.0,0.0,,21.8442,50,0.0,12,278.0,233436.0,4,25.69,96.7556,24.41,,,,1.0,1.0,10.821,2024-01-28 00:00:00,-55.07108,-64.55446,,,,,,2024-01-28 19:57:36,233380.4,233427.07608,1022.0041301427553,22.324862619664376,,,4843.449614233142,7.0707489583139544,48.1847481832328,2205.8371642464726,2158.3446672944046,4850.398794784467,10.5160592162278,48.11571375346478,2202.676854884353,2155.2524005716878,0,4852.303625843604,48.096825342298175,2201.812167179305,2154.4063299154695
1111_009_22_6_1_1, ,,,3,2024-01-28 00:00:00,202640,1111,9,22,1,1,1,6,-1.3354,33.5027,0.0,0.0,,21.8442,50,0.0,49,306.0,233746.0,4,25.67,96.7556,24.69,,,,1.0,1.0,5.967,2024-01-28 00:00:00,-55.07114,-64.55334,,,,,,2024-01-28 20:26:40,233496.1,233542.79922,1022.0078617971158,22.324944134668556,,,4843.449614233142,7.0707489583139544,48.20863611625889,2206.9307237737653,2159.4067974125574,4850.398794784467,10.5160592162278,48.13956746217929,2203.7688476657095,2156.3130089729107,0,4853.003146872739,48.113733482836125,2202.5862005857903,2155.1558289509885
1111_009_24_3_1_1, ,,,3,2024-01-28 00:00:00,213433,1111,9,24,1,1,1,3,-1.3428,33.501,0.0,0.0,,21.8442,50,0.0,25,329.0,233296.0,4,25.2,96.7556,24.75,,,,1.0,1.0,2.692,2024-01-28 00:00:00,-55.07208,-64.5516,,,,,,2024-01-28 21:34:33,233158.91666666666,233205.54844999997,1022.1500958224896,22.32805112316563,,,4843.449614233142,7.0707489583139544,48.13901975598077,2203.743774364855,2155.9884241771533,4850.398794784467,10.5160592162278,48.07005084146433,2200.586464208546,2152.8995332508466,0,4854.636833312921,48.02808627551927,2198.6653791633144,2151.0200783125915
1111_009_10_250_1_1, ,,,3,2024-01-28 00:00:00,220432,1111,9,10,1,1,1,250,-1.6248,34.4526,0.0,0.0,,21.8442,50,0.0,58,332.0,242336.0,4,25.18,96.7556,24.74,,,,1.0,1.0,252.845,2024-01-28 00:00:00,-55.07086,-64.55998,,,,,,2024-01-28 22:04:32,242015.06666666668,242063.46968,1022.8747129922689,22.34387980554572,,,4843.449614233142,7.0707489583139544,49.96749960100177,2287.449281777395,2236.2946827435003,4850.398794784467,10.5160592162278,49.89591101805906,2284.1720464955943,2233.0907368054745,0,4855.358414925053,49.84494366527675,2281.8388251928086,2230.8096937088476
1111_009_10_250_2_1, ,,,3,2024-01-28 00:00:00,223521,1111,9,10,2,1,1,250,-1.6248,34.4526,0.0,0.0,,21.8442,50,0.0,42,288.0,242618.0,4,24.93,96.7556,24.6,,,,1.0,1.0,252.845,2024-01-28 00:00:00,-55.07086,-64.55998,,,,,,2024-01-28 22:35:21,242416.4,242464.88327999998,1022.9506204350976,22.345537942908358,,,4843.449614233142,7.0707489583139544,50.05036065361888,2291.2425565421886,2239.8369097890973,4850.398794784467,10.5160592162278,49.97865335540354,2287.9598866245287,2236.6278888920147,0,4856.100051612477,49.91997640565606,2285.273729669938,2234.0019977679167
1111_009_10_250_3_1, ,,,3,2024-01-28 00:00:00,230320,1111,9,10,3,1,1,250,-1.6248,34.4526,0.0,0.0,,21.8442,50,0.0,15,304.0,242727.0,4,24.97,96.7556,24.53,,,,1.0,1.0,252.845,2024-01-28 00:00:00,-55.07086,-64.55998,,,,,,2024-01-28 23:03:20,242651.0,242699.5302,1022.9385079714473,22.34527335582989,,,4843.449614233142,7.0707489583139544,50.09879720580487,2293.459920976958,2242.0310733291644,4850.398794784467,10.5160592162278,50.02702051239943,2290.1740742347824,2238.818908847556,0,4856.773501043557,49.96135808018687,2287.168130679396,2235.8803709667723
